"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","19276","Reddif webtable","chromium","2026-06-27","passed","2026-06-27","","rediffwb.spec.ts","",""
"","5352","Rows and columns count","chromium","2026-06-27","passed","2026-06-27","","awebtableW3C.spec.ts","",""
"","2559","propertiesTest","chromium","2026-06-27","passed","2026-06-27","","urlproperties.spec.ts","",""
"","4388","Test2","chromium","2026-06-27","passed","2026-06-27","","HooksEx.spec.ts","",""
"","4072","Test3","chromium","2026-06-27","passed","2026-06-27","","HooksEx.spec.ts","",""
"","3251","get started link","chromium","2026-06-27","passed","2026-06-27","","example.spec.ts","",""
"","3575","Register Form","chromium","2026-06-27","passed","2026-06-27","","RegisterForm.spec.ts","",""
"","4132","Radio button","chromium","2026-06-27","passed","2026-06-27","","Check.spec.ts","",""
"","5701","Test1","chromium","2026-06-27","passed","2026-06-27","","HooksEx.spec.ts","",""
"","4090","Checkbox counting","chromium","2026-06-27","failed","2026-06-27","","Check.spec.ts","",""
"","8795","Handling webtable","chromium","2026-06-27","passed","2026-06-27","","awebtable.spec.ts","",""
"","3104","googleTitleTest","chromium","2026-06-27","passed","2026-06-27","","example4.spec.ts","",""
"","5103","has title","chromium","2026-06-27","passed","2026-06-27","","example.spec.ts","",""
"","11967","Handling select html tag listbox","chromium","2026-06-27","passed","2026-06-27","","testLB.spec.ts","",""
"","30468","Checkbox validation","chromium","2026-06-27","broken","2026-06-27","","Check.spec.ts","",""
"","951","test1","chromium","2026-06-27","passed","2026-06-27","","example2.spec.ts","",""
"","16938","Handling multiple windows with for...of loop","chromium","2026-06-27","passed","2026-06-27","","amultiplewindows.spec.ts","",""
"","30476","Handling multiple windows","chromium","2026-06-27","broken","2026-06-27","","awindowHandling.spec.ts","",""
"","3699","verifytitle","chromium","2026-06-27","passed","2026-06-27","","titleverify.spec.ts","",""
"","2494","frameTest","chromium","2026-06-27","passed","2026-06-27","","frames.spec.ts","",""
"","19044","Handling multiple windows","chromium","2026-06-27","passed","2026-06-27","","aWindowHanlde.spec.ts","",""
"","4885","Handling select html tag listbox","chromium","2026-06-27","passed","2026-06-27","","aregister.spec.ts","",""
"","5348","Reading webtable","chromium","2026-06-27","failed","2026-06-27","","awb.spec.ts","",""
"","4958","User can login with environment credentials","chromium","2026-06-27","passed","2026-06-27","","Environ.spec.ts","",""
